Date Finished,Name,Current Val,Best Val,Save Directory
11-03-20_18:57:59, id=supsup~seed=0~sparsity=1~try=0~set=RandSplitCIFAR100~task=0, 0.7240, 0.7560, runs/SupsupSeed_run2/rn18-supsup_num_masks_3/id=supsup~seed=0~sparsity=1~try=0
11-03-20_19:05:05, id=supsup~seed=0~sparsity=1~try=0~set=RandSplitCIFAR100~task=1, 0.7540, 0.7720, runs/SupsupSeed_run2/rn18-supsup_num_masks_3/id=supsup~seed=0~sparsity=1~try=0
11-03-20_19:12:06, id=supsup~seed=0~sparsity=1~try=0~set=RandSplitCIFAR100~task=2, 0.8600, 0.8600, runs/SupsupSeed_run2/rn18-supsup_num_masks_3/id=supsup~seed=0~sparsity=1~try=0
11-03-20_19:19:28, id=supsup~seed=0~sparsity=2~try=0~set=RandSplitCIFAR100~task=0, 0.7720, 0.7840, runs/SupsupSeed_run2/rn18-supsup_num_masks_3/id=supsup~seed=0~sparsity=2~try=0
11-03-20_19:26:20, id=supsup~seed=0~sparsity=2~try=0~set=RandSplitCIFAR100~task=1, 0.7860, 0.7960, runs/SupsupSeed_run2/rn18-supsup_num_masks_3/id=supsup~seed=0~sparsity=2~try=0
11-03-20_19:33:23, id=supsup~seed=0~sparsity=2~try=0~set=RandSplitCIFAR100~task=2, 0.8700, 0.8860, runs/SupsupSeed_run2/rn18-supsup_num_masks_3/id=supsup~seed=0~sparsity=2~try=0
11-03-20_19:40:39, id=supsup~seed=0~sparsity=4~try=0~set=RandSplitCIFAR100~task=0, 0.8020, 0.8320, runs/SupsupSeed_run2/rn18-supsup_num_masks_3/id=supsup~seed=0~sparsity=4~try=0
11-03-20_19:47:44, id=supsup~seed=0~sparsity=4~try=0~set=RandSplitCIFAR100~task=1, 0.7940, 0.8140, runs/SupsupSeed_run2/rn18-supsup_num_masks_3/id=supsup~seed=0~sparsity=4~try=0
11-03-20_19:54:48, id=supsup~seed=0~sparsity=4~try=0~set=RandSplitCIFAR100~task=2, 0.8840, 0.8960, runs/SupsupSeed_run2/rn18-supsup_num_masks_3/id=supsup~seed=0~sparsity=4~try=0
11-03-20_20:02:07, id=supsup~seed=0~sparsity=8~try=0~set=RandSplitCIFAR100~task=0, 0.8340, 0.8560, runs/SupsupSeed_run2/rn18-supsup_num_masks_3/id=supsup~seed=0~sparsity=8~try=0
11-03-20_20:09:10, id=supsup~seed=0~sparsity=8~try=0~set=RandSplitCIFAR100~task=1, 0.8040, 0.8420, runs/SupsupSeed_run2/rn18-supsup_num_masks_3/id=supsup~seed=0~sparsity=8~try=0
11-03-20_20:16:13, id=supsup~seed=0~sparsity=8~try=0~set=RandSplitCIFAR100~task=2, 0.8960, 0.9100, runs/SupsupSeed_run2/rn18-supsup_num_masks_3/id=supsup~seed=0~sparsity=8~try=0
11-03-20_20:23:35, id=supsup~seed=0~sparsity=16~try=0~set=RandSplitCIFAR100~task=0, 0.8400, 0.8600, runs/SupsupSeed_run2/rn18-supsup_num_masks_3/id=supsup~seed=0~sparsity=16~try=0
11-03-20_20:30:36, id=supsup~seed=0~sparsity=16~try=0~set=RandSplitCIFAR100~task=1, 0.8020, 0.8200, runs/SupsupSeed_run2/rn18-supsup_num_masks_3/id=supsup~seed=0~sparsity=16~try=0
11-03-20_20:37:37, id=supsup~seed=0~sparsity=16~try=0~set=RandSplitCIFAR100~task=2, 0.9160, 0.9220, runs/SupsupSeed_run2/rn18-supsup_num_masks_3/id=supsup~seed=0~sparsity=16~try=0
11-03-20_20:44:44, id=supsup~seed=0~sparsity=32~try=0~set=RandSplitCIFAR100~task=0, 0.8800, 0.8880, runs/SupsupSeed_run2/rn18-supsup_num_masks_3/id=supsup~seed=0~sparsity=32~try=0
11-03-20_20:51:49, id=supsup~seed=0~sparsity=32~try=0~set=RandSplitCIFAR100~task=1, 0.8180, 0.8360, runs/SupsupSeed_run2/rn18-supsup_num_masks_3/id=supsup~seed=0~sparsity=32~try=0
11-03-20_20:58:47, id=supsup~seed=0~sparsity=32~try=0~set=RandSplitCIFAR100~task=2, 0.9140, 0.9280, runs/SupsupSeed_run2/rn18-supsup_num_masks_3/id=supsup~seed=0~sparsity=32~try=0
