Date Finished,Name,Task,Num Tasks Learned,Current Val,Adapt Val
10-28-20_19:38:14, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_0~numtaskslearned=5~tasknumber=0, RandSplitCIFAR100_0, 5, 0.8060, 0.8080
10-28-20_19:38:14, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_1~numtaskslearned=5~tasknumber=1, RandSplitCIFAR100_1, 5, 0.7880, 0.7800
10-28-20_19:38:14, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_2~numtaskslearned=5~tasknumber=2, RandSplitCIFAR100_2, 5, 0.8700, 0.8580
10-28-20_19:38:15, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_3~numtaskslearned=5~tasknumber=3, RandSplitCIFAR100_3, 5, 0.9120, 0.9180
10-28-20_19:38:15, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_4~numtaskslearned=5~tasknumber=4, RandSplitCIFAR100_4, 5, 0.8500, 0.8520
