Date Finished,Name,Task,Num Tasks Learned,Current Val,Adapt Val
11-03-20_19:33:24, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_0~numtaskslearned=3~tasknumber=0, RandSplitCIFAR100_0, 3, 0.7720, 0.7700
11-03-20_19:33:24, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_1~numtaskslearned=3~tasknumber=1, RandSplitCIFAR100_1, 3, 0.7860, 0.7820
11-03-20_19:33:25, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_2~numtaskslearned=3~tasknumber=2, RandSplitCIFAR100_2, 3, 0.8700, 0.8780
