Date Finished,Name,Current Val,Best Val,Save Directory
10-28-20_17:35:38, id=supsup~seed=0~sparsity=1~try=0~set=RandSplitCIFAR100~task=0, 0.7040, 0.7300, runs/SupsupSeed/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=1~try=0
10-28-20_17:43:53, id=supsup~seed=0~sparsity=1~try=0~set=RandSplitCIFAR100~task=1, 0.7500, 0.7640, runs/SupsupSeed/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=1~try=0
10-28-20_17:52:09, id=supsup~seed=0~sparsity=1~try=0~set=RandSplitCIFAR100~task=2, 0.8360, 0.8480, runs/SupsupSeed/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=1~try=0
10-28-20_18:00:22, id=supsup~seed=0~sparsity=1~try=0~set=RandSplitCIFAR100~task=3, 0.8220, 0.8440, runs/SupsupSeed/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=1~try=0
10-28-20_18:08:37, id=supsup~seed=0~sparsity=1~try=0~set=RandSplitCIFAR100~task=4, 0.8200, 0.8460, runs/SupsupSeed/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=1~try=0
10-28-20_18:18:05, id=supsup~seed=0~sparsity=2~try=0~set=RandSplitCIFAR100~task=0, 0.7760, 0.7800, runs/SupsupSeed/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=2~try=0
10-28-20_18:26:55, id=supsup~seed=0~sparsity=2~try=0~set=RandSplitCIFAR100~task=1, 0.7700, 0.8000, runs/SupsupSeed/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=2~try=0
10-28-20_18:35:19, id=supsup~seed=0~sparsity=2~try=0~set=RandSplitCIFAR100~task=2, 0.8540, 0.8840, runs/SupsupSeed/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=2~try=0
10-28-20_18:43:41, id=supsup~seed=0~sparsity=2~try=0~set=RandSplitCIFAR100~task=3, 0.8880, 0.9060, runs/SupsupSeed/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=2~try=0
10-28-20_18:52:00, id=supsup~seed=0~sparsity=2~try=0~set=RandSplitCIFAR100~task=4, 0.8520, 0.8560, runs/SupsupSeed/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=2~try=0
10-28-20_19:00:33, id=supsup~seed=0~sparsity=4~try=0~set=RandSplitCIFAR100~task=0, 0.8060, 0.8340, runs/SupsupSeed/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=4~try=0
10-28-20_19:09:19, id=supsup~seed=0~sparsity=4~try=0~set=RandSplitCIFAR100~task=1, 0.7880, 0.8000, runs/SupsupSeed/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=4~try=0
10-28-20_19:18:59, id=supsup~seed=0~sparsity=4~try=0~set=RandSplitCIFAR100~task=2, 0.8700, 0.8880, runs/SupsupSeed/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=4~try=0
10-28-20_19:28:36, id=supsup~seed=0~sparsity=4~try=0~set=RandSplitCIFAR100~task=3, 0.9120, 0.9260, runs/SupsupSeed/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=4~try=0
10-28-20_19:38:13, id=supsup~seed=0~sparsity=4~try=0~set=RandSplitCIFAR100~task=4, 0.8500, 0.8660, runs/SupsupSeed/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=4~try=0
10-28-20_19:47:58, id=supsup~seed=0~sparsity=8~try=0~set=RandSplitCIFAR100~task=0, 0.8280, 0.8480, runs/SupsupSeed/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=8~try=0
10-28-20_19:57:29, id=supsup~seed=0~sparsity=8~try=0~set=RandSplitCIFAR100~task=1, 0.7960, 0.8240, runs/SupsupSeed/rn18-supsup_num_masks_5/id=supsup~seed=0~sparsity=8~try=0
