Date Finished,Name,Task,Num Tasks Learned,Current Val,Adapt Val
11-03-20_20:28:58, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_0~numtaskslearned=5~tasknumber=0, RandSplitCIFAR100_0, 5, 0.7600, 0.7620
11-03-20_20:28:58, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_1~numtaskslearned=5~tasknumber=1, RandSplitCIFAR100_1, 5, 0.7860, 0.7900
11-03-20_20:28:58, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_2~numtaskslearned=5~tasknumber=2, RandSplitCIFAR100_2, 5, 0.8600, 0.8720
11-03-20_20:28:59, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_3~numtaskslearned=5~tasknumber=3, RandSplitCIFAR100_3, 5, 0.8860, 0.8960
11-03-20_20:28:59, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_4~numtaskslearned=5~tasknumber=4, RandSplitCIFAR100_4, 5, 0.8620, 0.8440
