Date Finished,Name,Task,Num Tasks Learned,Current Val,Adapt Val
11-03-20_20:37:38, id=supsup~seed=0~sparsity=16~try=0~task=RandSplitCIFAR100_0~numtaskslearned=3~tasknumber=0, RandSplitCIFAR100_0, 3, 0.8400, 0.8340
11-03-20_20:37:39, id=supsup~seed=0~sparsity=16~try=0~task=RandSplitCIFAR100_1~numtaskslearned=3~tasknumber=1, RandSplitCIFAR100_1, 3, 0.8020, 0.7940
11-03-20_20:37:39, id=supsup~seed=0~sparsity=16~try=0~task=RandSplitCIFAR100_2~numtaskslearned=3~tasknumber=2, RandSplitCIFAR100_2, 3, 0.9160, 0.9160
